CarrierName,Date,NumFlights,ProportionalCancellations,ProportionalDelays
America West Airlines Inc.,01/08/01,630,0.0174603174603,0.0585615885487
America West Airlines Inc.,01/09/01,628,0.0175159235669,0.0621478921155
America West Airlines Inc.,01/10/01,628,0.0429936305732,0.235776760811
America West Airlines Inc.,01/11/01,632,0.0664556962025,0.154484344838
America West Airlines Inc.,01/12/01,634,0.110410094637,0.338886197167
America West Airlines Inc.,01/13/01,566,0.0106007067138,0.0723717367201
America West Airlines Inc.,01/14/01,623,0.016051364366,0.0550237933379
America West Airlines Inc.,01/15/01,630,0.052380952381,0.0475890456989
America West Airlines Inc.,01/16/01,628,0.116242038217,0.272729882583
America West Airlines Inc.,01/17/01,628,0.0207006369427,0.0604398588108
America West Airlines Inc.,01/18/01,632,0.0189873417722,0.045545665945
America West Airlines Inc.,01/19/01,635,0.0314960629921,0.109349253086
America West Airlines Inc.,01/20/01,566,0.0459363957597,0.0903307695795
America West Airlines Inc.,01/21/01,624,0.0544871794872,0.100557107137
America West Airlines Inc.,01/22/01,627,0.0175438596491,0.0364827453883
America West Airlines Inc.,01/23/01,627,0.0127591706539,0.042900178009
America West Airlines Inc.,01/24/01,628,0.0191082802548,0.0524712573963
America West Airlines Inc.,01/25/01,632,0.0253164556962,0.0534362317876
America West Airlines Inc.,01/26/01,634,0.0220820189274,0.143014432771
America West Airlines Inc.,01/27/01,566,0.083038869258,0.280247263823
America West Airlines Inc.,01/28/01,624,0.0416666666667,0.137092482157
America West Airlines Inc.,01/29/01,630,0.031746031746,0.0889070368858
America West Airlines Inc.,01/30/01,628,0.0509554140127,0.0495145222983
America West Airlines Inc.,01/31/01,628,0.0238853503185,0.0371706420508
American Eagle Airlines Inc.,01/01/01,1354,0.262186115214,0.979402599377
American Eagle Airlines Inc.,01/02/01,1421,0.11048557354,0.625649059982
American Eagle Airlines Inc.,01/03/01,1414,0.11315417256,0.562374112354
American Eagle Airlines Inc.,01/04/01,1416,0.0960451977401,0.346069868996
American Eagle Airlines Inc.,01/05/01,1421,0.107670654469,0.313725775688
American Eagle Airlines Inc.,01/06/01,1183,0.0777683854607,0.227377492735
American Eagle Airlines Inc.,01/07/01,1348,0.0942136498516,0.199613853384
American Eagle Airlines Inc.,01/08/01,1419,0.0584918957012,0.211987883274
American Eagle Airlines Inc.,01/09/01,1423,0.0611384399157,0.246675798708
American Eagle Airlines Inc.,01/10/01,1422,0.0611814345992,0.23593953295
American Eagle Airlines Inc.,01/11/01,1423,0.0505973295854,0.231668111785
American Eagle Airlines Inc.,01/12/01,1414,0.12729844413,0.2908953642
American Eagle Airlines Inc.,01/13/01,1179,0.069550466497,0.130969175139
American Eagle Airlines Inc.,01/14/01,1349,0.0971089696071,0.231440538213
American Eagle Airlines Inc.,01/15/01,1422,0.137834036568,0.303924418605
