CarrierName,Date,ProportionalCancellations
American Eagle Airlines Inc.,08/23/01,0.0521978021978
American Eagle Airlines Inc.,08/24/01,0.0419243986254
American Eagle Airlines Inc.,08/25/01,0.0646687697161
American Eagle Airlines Inc.,08/26/01,0.046362339515
American Eagle Airlines Inc.,08/27/01,0.0852819807428
American Eagle Airlines Inc.,08/28/01,0.0591878871301
American Eagle Airlines Inc.,08/29/01,0.0226960110041
American Eagle Airlines Inc.,08/30/01,0.0674931129477
American Eagle Airlines Inc.,08/31/01,0.0776632302405
American Airlines Inc.,08/01/01,0.0215658696671
American Airlines Inc.,08/02/01,0.0695611577965
American Airlines Inc.,08/03/01,0.0182413470533
American Airlines Inc.,08/05/01,0.0115718418515
American Airlines Inc.,08/06/01,0.0149602618046
American Airlines Inc.,08/07/01,0.0317905563347
American Airlines Inc.,08/08/01,0.0242990654206
American Airlines Inc.,08/09/01,0.0443303779748
American Airlines Inc.,08/10/01,0.0523854069224
American Airlines Inc.,08/12/01,0.0270139893874
American Airlines Inc.,08/13/01,0.0416861826698
American Airlines Inc.,08/14/01,0.0256889304064
American Airlines Inc.,08/15/01,0.0229508196721
American Airlines Inc.,08/16/01,0.0294530154278
American Airlines Inc.,08/17/01,0.0778246601031
American Airlines Inc.,08/19/01,0.0135069946937
American Airlines Inc.,08/20/01,0.023887587822
American Airlines Inc.,08/21/01,0.0285313376988
American Airlines Inc.,08/22/01,0.0725995316159
American Airlines Inc.,08/23/01,0.0257249766137
American Airlines Inc.,08/24/01,0.0206088992974
American Airlines Inc.,08/26/01,0.0183486238532
American Airlines Inc.,08/27/01,0.0449859418932
American Airlines Inc.,08/28/01,0.0449227889565
American Airlines Inc.,08/29/01,0.0205992509363
American Airlines Inc.,08/30/01,0.0271281571562
American Airlines Inc.,08/31/01,0.0364315740308
American Airlines Inc.,08/04/01,0.0202869866403
American Airlines Inc.,08/11/01,0.0522682445759
American Airlines Inc.,08/18/01,0.0336800396236
American Airlines Inc.,08/25/01,0.0356259277585
Continental Air Lines Inc.,08/01/01,0.00255754475703
Continental Air Lines Inc.,08/02/01,0.00592216582064
Continental Air Lines Inc.,08/03/01,0.0101095197978
Continental Air Lines Inc.,08/04/01,0.0045197740113
Continental Air Lines Inc.,08/05/01,0.0093370681606
Continental Air Lines Inc.,08/06/01,0.0169779286927
Continental Air Lines Inc.,08/07/01,0.0144557823129
Continental Air Lines Inc.,08/08/01,0.00255754475703
Continental Air Lines Inc.,08/09/01,0.00253378378378
Continental Air Lines Inc.,08/10/01,0.0514333895447
Continental Air Lines Inc.,08/11/01,0.00564971751412
Continental Air Lines Inc.,08/12/01,0.0102516309413
Continental Air Lines Inc.,08/13/01,0.0505050505051
Continental Air Lines Inc.,08/14/01,0.0118243243243
Continental Air Lines Inc.,08/15/01,0.0
Continental Air Lines Inc.,08/16/01,0.00167785234899
Continental Air Lines Inc.,08/17/01,0.00669456066946
Continental Air Lines Inc.,08/18/01,0.0011273957159
Continental Air Lines Inc.,08/19/01,0.00743494423792
Continental Air Lines Inc.,08/20/01,0.0067283431455
Continental Air Lines Inc.,08/21/01,0.00844594594595
Continental Air Lines Inc.,08/22/01,0.0160744500846
